date,gap,cumreturn
2018-10-17,gap_0,0.0008399247304108226
2018-10-18,gap_0,0.0008454140657923672
2018-10-19,gap_0,0.0008427589930082149
2018-10-20,gap_0,0.0008414437698510119
2018-10-21,gap_0,0.0008410529493317445
2018-10-22,gap_0,0.0008400926540246858
2018-10-23,gap_0,0.0008392650034294061
2018-10-24,gap_0,0.0008382154640328078
2018-10-25,gap_0,0.0008380021376610238
2018-10-26,gap_0,0.0008378811182761818
2018-10-27,gap_0,0.0008372145043517566
2018-10-28,gap_0,0.0008375548718328739
2018-10-29,gap_0,0.0008433880196314316
2018-10-30,gap_0,0.0008425503384918424
2018-10-31,gap_0,0.0008418186121437367
2018-11-01,gap_0,0.0008411559566669585
2018-11-02,gap_0,0.0008335297937456541
2018-11-03,gap_0,0.0008378574992835643
2018-11-04,gap_0,0.0008426368106297387
2018-11-05,gap_0,0.000838882161629483
2018-11-06,gap_0,0.0008565047828660278
2018-11-07,gap_0,0.0008517926790002138
2018-11-08,gap_0,0.0008434262347265763
2018-11-09,gap_0,0.0008405683994420602
2018-11-10,gap_0,0.0008436741042310601
2018-11-11,gap_0,0.0008453379857635887
2018-11-12,gap_0,0.0008454697040840467
2018-11-13,gap_0,0.0008426355709221939
2018-11-14,gap_0,0.0008410095980301379
2018-11-15,gap_0,0.000847357760339106
2018-11-16,gap_0,0.0008490205948366966
2018-11-17,gap_0,0.000854496782585624
2018-11-18,gap_0,0.0008647477017382656
2018-11-19,gap_0,0.0008905400913728331
2018-11-20,gap_0,0.0008904166328599043
2018-11-21,gap_0,0.0008865361914154749
2018-11-22,gap_0,0.0008940620598174283
2018-11-23,gap_0,0.0008930156376722231
2018-11-24,gap_0,0.0008993105263582747
2018-11-25,gap_0,0.000901212122453382
2018-11-26,gap_0,0.0009036673526551498
2018-11-27,gap_0,0.000902627813580909
2018-11-28,gap_0,0.0008916754537806386
2018-11-29,gap_0,0.0008966430516979164
2018-11-30,gap_0,0.0008977809977189058
2018-12-01,gap_0,0.0008979060852713921
2018-12-02,gap_0,0.0008975186915114466
2018-12-03,gap_0,0.0009027975413388548
2018-12-04,gap_0,0.0009064918088799028
2018-12-05,gap_0,0.0009203511416885891
2018-12-06,gap_0,0.0009405381732611325
2018-12-07,gap_0,0.000945979782250007
2018-12-08,gap_0,0.0009487856405068388
2018-12-09,gap_0,0.0009394129384898949
2018-12-10,gap_0,0.0009491855020035756
2018-12-11,gap_0,0.0009567783041583547
2018-12-12,gap_0,0.0009545769691214471
2018-12-13,gap_0,0.0009675105160564099
2018-12-14,gap_0,0.0009783367199391274
2018-12-15,gap_0,0.0009821640451411495
2018-12-16,gap_0,0.0009780147994721063
2018-12-17,gap_0,0.0009651483337252272
2018-12-18,gap_0,0.0009497749051632044
2018-12-19,gap_0,0.0009313758029534559
2018-12-20,gap_0,0.0009083903171685044
2018-12-21,gap_0,0.000927705240835422
2018-12-22,gap_0,0.0009300753499458811
2018-12-23,gap_0,0.000929875242654551
2018-12-24,gap_0,0.000921475170434239
2018-12-25,gap_0,0.000916485665348516
2018-12-26,gap_0,0.0009227157094139746
2018-12-27,gap_0,0.0009082265568212445
2018-12-28,gap_0,0.0009213571348054473
2018-12-29,gap_0,0.0009239431061590873
2018-12-30,gap_0,0.000922643717303804
2018-12-31,gap_0,0.0009189882298898509
2019-01-01,gap_0,0.0009200877121390705
2019-01-02,gap_0,0.0009295339728984801
2019-01-03,gap_0,0.0009265420913286241
2019-01-04,gap_0,0.0009350269947694541
2019-01-05,gap_0,0.0009410567701332387
2019-01-06,gap_0,0.0009427916152549717
2019-01-07,gap_0,0.0009392350846841956
2019-01-08,gap_0,0.0009529858597936838
2019-01-09,gap_0,0.0009614293602877231
2019-01-10,gap_0,0.0009531780173564465
2019-01-11,gap_0,0.0009503389341920222
2019-01-12,gap_0,0.0009403766383053664
2019-01-13,gap_0,0.0009332639659313949
2019-01-14,gap_0,0.0009462165927151296
2019-01-15,gap_0,0.000947960592828357
2019-01-16,gap_0,0.0009520656927327996
2019-01-17,gap_0,0.0009536814868202211
2019-01-18,gap_0,0.0009569144795110301
2019-01-19,gap_0,0.0009537478586914975
2019-01-20,gap_0,0.0009564807986965498
2019-01-21,gap_0,0.0009642154837665172
2019-01-22,gap_0,0.0009625020368478217
2019-01-23,gap_0,0.0009613404174530398
2019-01-24,gap_0,0.0009639873990138064
2019-01-25,gap_0,0.0009684102623147095
2019-01-26,gap_0,0.0009798383749864198
2019-01-27,gap_0,0.0009888962935846015
2019-01-28,gap_0,0.0009874504779190504
2019-01-29,gap_0,0.0009955823736048077
2019-01-30,gap_0,0.000981763977593842
2019-01-31,gap_0,0.000981840327654976
2019-02-01,gap_0,0.0009873448692309472
2019-02-02,gap_0,0.0009898713687670401
2019-02-03,gap_0,0.0009910685636463942
2019-02-04,gap_0,0.0010013167113324087
2019-02-05,gap_0,0.0010112195896675462
2019-02-06,gap_0,0.001019652512016336
2019-02-07,gap_0,0.0010175018522830725
2019-02-08,gap_0,0.0010257923924755382
2019-02-09,gap_0,0.0010314201129370875
2019-02-10,gap_0,0.001038912833456608
2019-02-11,gap_0,0.0010397396468262942
2019-02-12,gap_0,0.0010415369035931244
2019-02-13,gap_0,0.001034394836277219
2019-02-14,gap_0,0.0010346316135407384
2019-02-15,gap_0,0.001038669972925593
2019-02-16,gap_0,0.001040628688417797
2019-02-17,gap_0,0.0010452819785289106
2019-02-18,gap_0,0.0010516877024642044
2019-02-19,gap_0,0.001049378452732876
2019-02-20,gap_0,0.001057439962090889
2019-02-21,gap_0,0.001050429410290514
2019-02-22,gap_0,0.0010534644167446816
2019-02-23,gap_0,0.0010580993733831552
2019-02-24,gap_0,0.0010386612770317222
2019-02-25,gap_0,0.00103249002190164
2019-02-26,gap_0,0.0010296908651836788
2019-02-27,gap_0,0.0010286943140730923
2019-02-28,gap_0,0.0010317910226413565
2019-03-01,gap_0,0.001039650847314363
2019-03-02,gap_0,0.0010475641955895731
2019-03-03,gap_0,0.0010455233548370003
2019-03-04,gap_0,0.001044562337739176
2019-03-05,gap_0,0.0010607184801672757
2019-03-06,gap_0,0.0010734363922033179
2019-03-07,gap_0,0.0010795226457352687
2019-03-08,gap_0,0.0010765238794707378
2019-03-09,gap_0,0.0010753023182695097
2019-03-10,gap_0,0.0010767603004618906
2019-03-11,gap_0,0.0010818314551734338
2019-03-12,gap_0,0.0010899644443704613
2019-03-13,gap_0,0.0010892018620508384
2019-03-14,gap_0,0.0010866919512555167
2019-03-15,gap_0,0.0010834532929955216
2019-03-16,gap_0,0.0010917012261931099
2019-03-17,gap_0,0.00108992575652786
2019-03-18,gap_0,0.0010967358169952292
2019-03-19,gap_0,0.0010942270856196536
2019-03-20,gap_0,0.0010927226398385617
2019-03-21,gap_0,0.0010908734084981995
2019-03-22,gap_0,0.0011008742620989714
2019-03-23,gap_0,0.0011079933844515392
2019-03-24,gap_0,0.0011025115934089928
2019-03-25,gap_0,0.0010985615965192843
2019-03-26,gap_0,0.001100149961735954
2019-03-27,gap_0,0.0011067296074285622
2019-03-28,gap_0,0.0011041621596257862
2019-03-29,gap_0,0.0011124322807878864
2019-03-30,gap_0,0.0011105927595797015
2019-03-31,gap_0,0.0011098075197643169
2019-04-01,gap_0,0.0011123022207975872
2019-04-02,gap_0,0.0011324055432874987
2019-04-03,gap_0,0.0011541915838499586
2019-04-04,gap_0,0.001150286633636589
2019-04-05,gap_0,0.001146246897667154
2019-04-06,gap_0,0.0011528061613465801
2019-04-07,gap_0,0.001153161306776308
2019-04-08,gap_0,0.0011563075173641908
2019-04-09,gap_0,0.0011504185389239825
2019-04-10,gap_0,0.0011531358191189617
2019-04-11,gap_0,0.0011403996574202429
2019-04-12,gap_0,0.001141773523764645
2019-04-13,gap_0,0.0011396261948029814
2019-04-14,gap_0,0.0011409469052527045
2019-04-15,gap_0,0.0011474211797138786
2019-04-16,gap_0,0.001147910933012214
2019-04-17,gap_0,0.001143242640479498
2019-04-18,gap_0,0.0011503313028367649
2019-04-19,gap_0,0.0011652173940094582
2019-04-20,gap_0,0.001170845745516225
2019-04-21,gap_0,0.0011730740623676883
2019-04-22,gap_0,0.001167936213237263
2019-04-23,gap_0,0.001174113636318749
2019-04-24,gap_0,0.001182335689712662
2019-04-25,gap_0,0.0011804180517101337
2019-04-26,gap_0,0.0011810320493022557
2019-04-27,gap_0,0.0011778126364178586
2019-04-28,gap_0,0.0011846456774187043
2019-04-29,gap_0,0.0011887322354586637
2019-04-30,gap_0,0.001169703149785518
2019-05-01,gap_0,0.001170754727442231
2019-05-02,gap_0,0.0011787998174111766
2019-05-03,gap_0,0.0011794897069429587
2019-05-04,gap_0,0.001184261661644778
2019-05-05,gap_0,0.001184614984950478
2019-05-06,gap_0,0.0011807624975998137
2019-05-07,gap_0,0.0011871403867646762
2019-05-08,gap_0,0.0011885981222347745
2019-05-09,gap_0,0.001200244052524769
2019-05-10,gap_0,0.0011986474627871163
2019-05-11,gap_0,0.001200099927487514
2019-05-12,gap_0,0.0012010135846748132
2019-05-13,gap_0,0.0012072622398313923
2019-05-14,gap_0,0.0011953040790114546
2019-05-15,gap_0,0.001189337607382989
2019-05-16,gap_0,0.0011884967393850567
2019-05-17,gap_0,0.0011772539943115
2019-05-18,gap_0,0.0011719137669085992
2019-05-19,gap_0,0.0011745243142837732
2019-05-20,gap_0,0.001171747486281324
2019-05-21,gap_0,0.0011769065993420804
2019-05-22,gap_0,0.0011741654224375893
